    Epoch: 1, Classification rate: 89.89%
    Epoch: 2, Classification rate: 90.28%
    Epoch: 3, Classification rate: 90.33%
    Epoch: 4, Classification rate: 90.36%
    Epoch: 5, Classification rate: 90.37%
    Epoch: 6, Classification rate: 90.56%
    Epoch: 7, Classification rate: 90.68%
    Epoch: 8, Classification rate: 90.81%
    Epoch: 9, Classification rate: 90.84%
    Epoch: 10, Classification rate: 90.91%
    Epoch: 11, Classification rate: 90.92%
    Epoch: 12, Classification rate: 90.98%
    Epoch: 13, Classification rate: 90.97%
    Epoch: 14, Classification rate: 90.98%
    Epoch: 15, Classification rate: 91.05%
    Epoch: 16, Classification rate: 91.03%
    Epoch: 17, Classification rate: 91.02%
    Epoch: 18, Classification rate: 91.06%
    Epoch: 19, Classification rate: 91.07%
    Epoch: 20, Classification rate: 91.10%
    Epoch: 21, Classification rate: 91.11%
    Epoch: 22, Classification rate: 91.12%
    Epoch: 23, Classification rate: 91.13%
    Epoch: 24, Classification rate: 91.13%
    Epoch: 25, Classification rate: 91.14%
    Epoch: 26, Classification rate: 91.14%
    Epoch: 27, Classification rate: 91.14%
    Epoch: 28, Classification rate: 91.15%
    Epoch: 29, Classification rate: 91.15%
    Epoch: 30, Classification rate: 91.14%
    Epoch: 31, Classification rate: 91.12%
    Epoch: 32, Classification rate: 91.12%
    Epoch: 33, Classification rate: 91.11%
    Epoch: 34, Classification rate: 91.11%
    Epoch: 35, Classification rate: 91.11%
    Epoch: 36, Classification rate: 91.12%
    Epoch: 37, Classification rate: 91.12%
    Epoch: 38, Classification rate: 91.12%
    Epoch: 39, Classification rate: 91.13%
    Epoch: 40, Classification rate: 91.12%
    Epoch: 41, Classification rate: 91.12%
    Epoch: 42, Classification rate: 91.12%
